CODUSU;TRIM;ANO4;AGLOMERADO;NRO_HOGAR;PROVINCIA;ITF;IPCF;REALIZADA;PONDIH;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V3;V4;V6;V7;V8;V9;V10;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4;PONDERA;V2_01;V21_01;V22_01;V2_02;V21_02;V22_02;V2_03;V21_03;V22_03;V5_01;V5_02;V5_03;V11_01;V11_02
TQRMNOPXTHLNKMCDEIIAD00887048;3;2025;32;1;2;0;0;1;0;6;1;2;0;1;1;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;0;2;2;;6;1;;9;1;1;1;;1;1;1;1;2;2;2;2;0;96;0;0;0;1385;0;2;2;0;2;2;0;2;2;2;2;2;2;2
TQRMNOPYSHLNKMCDEIIAD00884122;3;2025;32;1;2;2550000;850000;1;3308;2;2;2;0;1;1;2;2;0;2;0;5;;1;;1;1;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;3;0;3;2;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;2;0;98;0;0;0;1439;0;2;2;0;2;2;0;2;2;2;2;2;2;2
TQRMNOSTVHLNKMCDEIIAD00887282;3;2025;32;1;2;0;0;1;0;3;1;2;0;1;1;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;2;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;1197;0;2;2;0;2;2;0;2;2;2;2;2;2;2
TQRMNOSTWHLNKMCDEIIAD00883776;3;2025;32;1;2;1125000;1125000;1;1649;5;1;2;0;2;1;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;2;;5;1;;4;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;1015;1;1;2;2;2;2;2;2;2;2;2;2;2;2
TQRMNOSTXHLNKMCDEIIAD00889647;3;2025;32;1;2;1005000;1005000;1;1049;2;1;2;0;1;1;2;2;0;2;0;3;;1;;1;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;2;;2;1;;9;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;1015;1;1;2;2;2;2;2;2;2;2;2;2;2;2
TQRMNOQUXHJNKNCDEIIAD00865605;3;2025;32;1;2;4000000;4000000;1;3900;2;1;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;2;;2;1;;9;1;1;1;;1;1;1;1;2;2;2;1;0;96;0;0;0;2204;0;2;2;0;2;2;0;2;2;2;2;2;2;2
TQRMNOQVPHJNKNCDEIIAD00861810;3;2025;32;1;2;2370000;2370000;1;3035;2;1;2;0;1;2;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;1;0;1;2;;2;1;;9;1;1;1;;1;1;1;1;2;2;2;96;0;1;0;0;0;1869;1;2;2;2;2;2;2;2;2;2;2;2;2;2
TQRMNOPYYHKNKMCDEIIAD00868718;3;2025;32;1;2;2000000;1000000;1;5893;4;2;2;0;1;1;2;2;0;2;0;1;;1;;1;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;0;2;2;;4;1;;9;1;1;1;;1;1;1;1;2;2;2;1;2;98;0;0;0;2759;0;2;2;0;2;2;0;2;2;2;2;2;2;2
TQRMNOSSYHJOKOCDEIIAD00863566;3;2025;32;1;2;1300000;1300000;1;1584;3;1;2;0;1;2;2;2;0;2;0;2;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;2;;3;1;;9;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;1654;1;2;2;2;2;2;2;2;2;2;2;2;2;2
TQRMNOPVRHMLKMCDEIIAD00887993;3;2025;32;1;2;1250000;312500;1;2828;3;2;2;0;1;2;2;2;0;2;0;3;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;3;2;;3;1;;9;1;1;1;;1;1;1;1;2;2;2;1;0;2;0;0;0;3367;0;2;2;0;2;2;0;2;2;2;2;2;2;2
